,,,,,,
,,Dates,Day,Net Consumption (kWh),,
,67,2024-03-07,67,3.0,,
,68,2024-03-08,68,3.0,,
,69,2024-03-09,69,3.0,,
,70,2024-03-10,70,3.0,,
,71,2024-03-11,71,2.0,,
,72,2024-03-12,72,3.0,,
,73,2024-03-13,73,2.0,,
,74,2024-03-14,74,3.0,,
,75,2024-03-15,75,3.0,,
,76,2024-03-16,76,5.0,,
,77,2024-03-17,77,2.0,,
,78,2024-03-18,78,2.0,,
,79,2024-03-19,79,2.0,,
,80,2024-03-20,80,2.0,,
,81,2024-03-21,81,3.0,,
,82,2024-03-22,82,4.0,,
,83,2024-03-23,83,3.0,,
,84,2024-03-24,84,3.0,,
,85,2024-03-25,85,2.0,,
,86,2024-03-26,86,3.0,,
,87,2024-03-27,87,4.0,,
,88,2024-03-28,88,3.0,,
,89,2024-03-29,89,3.0,,
,90,2024-03-30,90,2.0,,
,91,2024-03-31,91,3.0,,
,92,2024-04-01,92,3.0,,
,93,2024-04-02,93,3.0,,
,94,2024-04-03,94,3.0,,
,95,2024-04-04,95,3.0,,
,96,2024-04-05,96,2.0,,
,97,2024-04-06,97,3.0,,
,98,2024-04-07,98,4.0,,
,99,2024-04-08,99,3.0,,
,100,2024-04-09,100,7.0,,
,101,2024-04-10,101,5.0,,
,102,2024-04-11,102,4.0,,
,103,2024-04-12,103,4.0,,
,104,2024-04-13,104,3.0,,
,105,2024-04-14,105,2.0,,
,106,2024-04-15,106,3.0,,
,107,2024-04-16,107,6.0,,
,108,2024-04-17,108,5.0,,
,109,2024-04-18,109,4.0,,
,110,2024-04-19,110,2.0,,
,111,2024-04-20,111,3.0,,
,112,2024-04-21,112,4.0,,
,113,2024-04-22,113,2.0,,
,114,2024-04-23,114,6.0,,
,115,2024-04-24,115,5.0,,
,116,2024-04-25,116,3.0,,
,117,2024-04-26,117,3.0,,
,118,2024-04-27,118,2.0,,
,119,2024-04-28,119,4.0,,
,120,2024-04-29,120,2.0,,
,121,2024-04-30,121,3.0,,
,122,2024-05-01,122,3.0,,
,123,2024-05-02,123,2.0,,
,124,2024-05-03,124,3.0,,
,125,2024-05-04,125,3.0,,
,126,2024-05-05,126,2.0,,
,127,2024-05-06,127,4.0,,
,128,2024-05-07,128,2.0,,
,129,2024-05-08,129,2.0,,
,130,2024-05-09,130,3.0,,
,131,2024-05-10,131,3.0,,
,132,2024-05-11,132,3.0,,
,133,2024-05-12,133,2.0,,
,134,2024-05-13,134,2.0,,
,135,2024-05-14,135,3.0,,
,136,2024-05-15,136,2.0,,
,137,2024-05-16,137,2.0,,
,138,2024-05-17,138,2.0,,
,139,2024-05-18,139,3.0,,
,140,2024-05-19,140,2.0,,
,141,2024-05-20,141,3.0,,
,142,2024-05-21,142,3.0,,
,143,2024-05-22,143,2.0,,
,144,2024-05-23,144,2.0,,
,145,2024-05-24,145,3.0,,
,146,2024-05-25,146,3.0,,
,147,2024-05-26,147,2.0,,
,148,2024-05-27,148,2.0,,
,149,2024-05-28,149,3.0,,
,150,2024-05-29,150,2.0,,
,151,2024-05-30,151,2.0,,
,152,2024-05-31,152,3.0,,
,153,2024-06-01,153,2.0,,
,154,2024-06-02,154,3.0,,
,155,2024-06-03,155,3.0,,
,156,2024-06-04,156,2.0,,
,157,2024-06-05,157,3.0,,
,158,2024-06-06,158,2.0,,
,159,2024-06-07,159,2.0,,
,160,2024-06-08,160,3.0,,
,161,2024-06-09,161,2.0,,
,162,2024-06-10,162,3.0,,
,163,2024-06-11,163,2.0,,
,164,2024-06-12,164,3.0,,
,165,2024-06-13,165,3.0,,
,166,2024-06-14,166,1.0,,
,167,2024-06-15,167,3.0,,
,168,2024-06-16,168,3.0,,
,169,2024-06-17,169,2.0,,
,170,2024-06-18,170,2.0,,
,171,2024-06-19,171,2.0,,
,172,2024-06-20,172,2.0,,
,173,2024-06-21,173,2.0,,
,174,2024-06-22,174,3.0,,
,175,2024-06-23,175,2.0,,
,176,2024-06-24,176,3.0,,
,177,2024-06-25,177,3.0,,
,178,2024-06-26,178,3.0,,
,179,2024-06-27,179,2.0,,
,180,2024-06-28,180,3.0,,
,181,2024-06-29,181,2.0,,
,182,2024-06-30,182,3.0,,
,183,2024-07-01,183,2.0,,
,184,2024-07-02,184,3.0,,
,185,2024-07-03,185,3.0,,
,186,2024-07-04,186,4.0,,
,187,2024-07-05,187,2.0,,
,188,2024-07-06,188,3.0,,
,189,2024-07-07,189,2.0,,
,190,2024-07-08,190,3.0,,
,191,2024-07-09,191,3.0,,
,192,2024-07-10,192,2.0,,
,193,2024-07-11,193,3.0,,
,194,2024-07-12,194,2.0,,
,195,2024-07-13,195,3.0,,
,196,2024-07-14,196,3.0,,
,197,2024-07-15,197,3.0,,
,198,2024-07-16,198,3.0,,
,199,2024-07-17,199,3.0,,
,200,2024-07-18,200,3.0,,
,201,2024-07-19,201,3.0,,
,202,2024-07-20,202,3.0,,
,203,2024-07-21,203,3.0,,
,204,2024-07-22,204,3.0,,
,205,2024-07-23,205,4.0,,
,206,2024-07-24,206,3.0,,
,207,2024-07-25,207,2.0,,
,208,2024-07-26,208,2.0,,
,209,2024-07-27,209,3.0,,
,210,2024-07-28,210,2.0,,
,211,2024-07-29,211,3.0,,
,212,2024-07-30,212,2.0,,
,213,2024-07-31,213,3.0,,
,214,2024-08-01,214,2.0,,
,215,2024-08-02,215,3.0,,
,216,2024-08-03,216,3.0,,
,217,2024-08-04,217,3.0,,
,218,2024-08-05,218,2.0,,
,219,2024-08-06,219,2.0,,
,220,2024-08-07,220,3.0,,
,221,2024-08-08,221,3.0,,
,222,2024-08-09,222,3.0,,
,223,2024-08-10,223,5.0,,
,224,2024-08-11,224,3.0,,
,225,2024-08-12,225,4.0,,
,226,2024-08-13,226,3.0,,
,227,2024-08-14,227,4.0,,
,228,2024-08-15,228,3.0,,
,229,2024-08-16,229,2.0,,
,230,2024-08-17,230,2.0,,
,231,2024-08-18,231,3.0,,
,232,2024-08-19,232,3.0,,
,233,2024-08-20,233,3.0,,
,234,2024-08-21,234,2.0,,
,235,2024-08-22,235,3.0,,
,236,2024-08-23,236,3.0,,
,237,2024-08-24,237,2.0,,
,238,2024-08-25,238,3.0,,
,239,2024-08-26,239,3.0,,
,240,2024-08-27,240,2.0,,
,241,2024-08-28,241,3.0,,
,242,2024-08-29,242,2.0,,
,243,2024-08-30,243,2.0,,
,244,2024-08-31,244,3.0,,
,245,2024-09-01,245,2.0,,
,246,2024-09-02,246,4.0,,
,247,2024-09-03,247,4.0,,
,248,2024-09-04,248,2.0,,
,249,2024-09-05,249,3.0,,
,250,2024-09-06,250,2.0,,
,251,2024-09-07,251,2.0,,
,252,2024-09-08,252,3.0,,
,253,2024-09-09,253,2.0,,
,254,2024-09-10,254,2.0,,
,255,2024-09-11,255,2.0,,
,256,2024-09-12,256,2.0,,
,257,2024-09-13,257,2.0,,
,258,2024-09-14,258,2.0,,
,259,2024-09-15,259,2.0,,
,260,2024-09-16,260,3.0,,
,261,2024-09-17,261,2.0,,
,262,2024-09-18,262,2.0,,
,263,2024-09-19,263,3.0,,
,264,2024-09-20,264,2.0,,
,265,2024-09-21,265,3.0,,
,266,2024-09-22,266,2.0,,
,267,2024-09-23,267,3.0,,
,268,2024-09-24,268,3.0,,
,269,2024-09-25,269,3.0,,
,270,2024-09-26,270,2.0,,
,271,2024-09-27,271,1.0,,
,272,2024-09-28,272,3.0,,
,273,2024-09-29,273,2.0,,
,274,2024-09-30,274,3.0,,
,275,2024-10-01,275,2.0,,
,276,2024-10-02,276,1.0,,
,277,2024-10-03,277,3.0,,
,278,2024-10-04,278,1.0,,
,279,2024-10-05,279,3.0,,
,280,2024-10-06,280,2.0,,
,281,2024-10-07,281,2.0,,
,282,2024-10-08,282,1.0,,
,283,2024-10-09,283,1.0,,
,284,2024-10-10,284,3.0,,
,285,2024-10-11,285,2.0,,
,286,2024-10-12,286,1.0,,
,287,2024-10-13,287,2.0,,
,288,2024-10-14,288,3.0,,
,289,2024-10-15,289,1.0,,
,290,2024-10-16,290,2.0,,
,291,2024-10-17,291,2.0,,
,292,2024-10-18,292,8.0,,
,293,2024-10-19,293,11.0,,
,294,2024-10-20,294,7.0,,
,295,2024-10-21,295,9.0,,
,296,2024-10-22,296,9.0,,
,297,2024-10-23,297,11.0,,
,298,2024-10-24,298,12.0,,
,299,2024-10-25,299,12.0,,
,300,2024-10-26,300,8.0,,
,301,2024-10-27,301,7.0,,
,302,2024-10-28,302,8.0,,
,303,2024-10-29,303,8.0,,
,304,2024-10-30,304,13.0,,
,305,2024-10-31,305,10.0,,
,306,2024-11-01,306,3.0,,
,307,2024-11-02,307,5.0,,
,308,2024-11-03,308,5.0,,
,309,2024-11-04,309,2.0,,
,310,2024-11-05,310,4.0,,
,311,2024-11-06,311,5.0,,
,312,2024-11-07,312,10.0,,
,313,2024-11-08,313,6.0,,
,314,2024-11-09,314,8.0,,
,315,2024-11-10,315,9.0,,
,316,2024-11-11,316,8.0,,
,317,2024-11-12,317,10.0,,
,318,2024-11-13,318,9.0,,
,319,2024-11-14,319,3.0,,
,320,2024-11-15,320,6.0,,
,321,2024-11-16,321,8.0,,
,322,2024-11-17,322,8.0,,
,323,2024-11-18,323,7.0,,
,324,2024-11-19,324,14.0,,
,325,2024-11-20,325,12.0,,
,326,2024-11-21,326,7.0,,
,327,2024-11-22,327,7.0,,
,328,2024-11-23,328,6.0,,
,329,2024-11-24,329,7.0,,
,330,2024-11-25,330,8.0,,
,331,2024-11-26,331,12.0,,
,332,2024-11-27,332,11.0,,
,333,2024-11-28,333,9.0,,
,334,2024-11-29,334,8.0,,
,335,2024-11-30,335,15.0,,
,336,2024-12-01,336,17.0,,
,337,2024-12-02,337,17.0,,
,338,2024-12-03,338,14.0,,
,339,2024-12-04,339,18.0,,
,340,2024-12-05,340,11.0,,
,341,2024-12-06,341,7.0,,
,342,2024-12-07,342,5.0,,
,343,2024-12-08,343,6.0,,
,344,2024-12-09,344,8.0,,
,345,2024-12-10,345,9.0,,
,346,2024-12-11,346,2.0,,
,347,2024-12-12,347,8.0,,
,348,2024-12-13,348,14.0,,
,349,2024-12-14,349,17.0,,
,350,2024-12-15,350,15.0,,
,351,2024-12-16,351,15.0,,
,352,2024-12-17,352,16.0,,
,353,2024-12-18,353,9.0,,
,354,2024-12-19,354,2.0,,
,355,2024-12-20,355,2.0,,
,356,2024-12-21,356,4.0,,
,357,2024-12-22,357,2.0,,
,358,2024-12-23,358,2.0,,
,359,2024-12-24,359,1.0,,
,360,2024-12-25,360,3.0,,
,361,2024-12-26,361,3.0,,
,362,2024-12-27,362,2.0,,
,363,2024-12-28,363,9.0,,
,364,2024-12-29,364,8.0,,
,365,2024-12-30,365,9.0,,
,366,2024-12-31,366,12.0,,
